date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:23	13084/13084	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Nov%202021%2009:59:20%20GMT	http://khongvanduong.com/landing-2.html	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/landing-2.html	(from )
16:59:23	5550/5550	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Nov%202021%2009:59:20%20GMT	http://khongvanduong.com/robots.txt		(from )
16:59:24	6839/6839	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Oct%202021%2014:24:32%20GMT	http://khongvanduong.com/public/landing-2/css/page-skin-1.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/landing-2/css/page-skin-1.css	(from http://khongvanduong.com/landing-2.html)
16:59:24	2128/2128	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Oct%202021%2013:55:28%20GMT	http://khongvanduong.com/public/landing-2/css/normalize.min.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/landing-2/css/normalize.min.css	(from http://khongvanduong.com/landing-2.html)
16:59:25	346/346	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Oct%202021%2016:35:10%20GMT	http://khongvanduong.com/public/shared/css/remove000.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/css/remove000.css	(from http://khongvanduong.com/landing-2.html)
16:59:25	386/386	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Oct%202021%2016:21:50%20GMT	http://khongvanduong.com/public/shared/css/blacked.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/css/blacked.css	(from http://khongvanduong.com/landing-2.html)
16:59:25	143/143	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Oct%202021%2016:02:18%20GMT	http://khongvanduong.com/public/shared/css/mouse.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/css/mouse.css	(from http://khongvanduong.com/landing-2.html)
16:59:26	1100/1100	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Oct%202021%2013:49:38%20GMT	http://khongvanduong.com/public/shared/css/loader.css	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/css/loader.css	(from http://khongvanduong.com/landing-2.html)
16:59:39	876/876	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Nov%202021%2019:24:28%20GMT	https://img.icons8.com/wired/30/000000/facebook-new.png	C:/My%20Web%20Sites/LeTrongBinh/img.icons8.com/wired/30/000000/facebook-new.png	(from http://khongvanduong.com/landing-2.html)
16:59:45	153382/153382	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Oct%202021%2011:09:44%20GMT	http://khongvanduong.com/public/shared/img/loader.gif	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/img/loader.gif	(from http://khongvanduong.com/landing-2.html)
16:59:48	258350/258350	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Oct%202021%2015:12:52%20GMT	http://khongvanduong.com/public/shared/img/favicon.png	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/img/favicon.png	(from http://khongvanduong.com/landing-2.html)
16:59:49	220212/220212	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Oct%202021%2015:12:50%20GMT	http://khongvanduong.com/public/shared/img/avatar.jpg	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/shared/img/avatar.jpg	(from http://khongvanduong.com/landing-2.html)
16:59:50	637/637	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2002:38:37%20GMT	https://img.icons8.com/wired/30/000000/tiktok.png	C:/My%20Web%20Sites/LeTrongBinh/img.icons8.com/wired/30/000000/tiktok.png	(from http://khongvanduong.com/landing-2.html)
16:59:50	1957/1957	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Nov%202021%2012:28:23%20GMT	https://img.icons8.com/doodle/30/000000/instagram-new.png	C:/My%20Web%20Sites/LeTrongBinh/img.icons8.com/doodle/30/000000/instagram-new.png	(from http://khongvanduong.com/landing-2.html)
16:59:50	724/724	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Nov%202021%2021:17:29%20GMT	https://img.icons8.com/ios/30/000000/zalo.png	C:/My%20Web%20Sites/LeTrongBinh/img.icons8.com/ios/30/000000/zalo.png	(from http://khongvanduong.com/landing-2.html)
16:59:50	622/622	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Oct%202021%2015:10:48%20GMT	http://khongvanduong.com/public/landing-2/img/address-32.png	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/landing-2/img/address-32.png	(from http://khongvanduong.com/landing-2.html)
16:59:51	660/660	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Oct%202021%2015:10:48%20GMT	http://khongvanduong.com/public/landing-2/img/phone-32.png	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/landing-2/img/phone-32.png	(from http://khongvanduong.com/landing-2.html)
16:59:51	524/524	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Oct%202021%2015:10:48%20GMT	http://khongvanduong.com/public/landing-2/img/mail-32.png	C:/My%20Web%20Sites/LeTrongBinh/khongvanduong.com/public/landing-2/img/mail-32.png	(from http://khongvanduong.com/landing-2.html)
